episode, reward, reward_tard, reward_setup, SSPT, ATCS, MDD, COVERT,Avg_tardy,DDT,PT_var
255,-71.74,-87.08,-56.40,9,88,1,2,6.56,1.2,0.3
256,-76.94,-85.47,-68.40,12,83,5,0,0.90,1.2,0.2
257,-81.92,-97.63,-66.20,14,82,4,0,1.11,0.8,0.3
258,-75.05,-94.29,-55.80,8,91,1,0,2.83,1.1,0.1
259,-72.17,-91.15,-53.20,8,87,3,2,3.33,0.9,0.4
260,-73.97,-98.73,-49.20,2,97,1,0,9.84,1.0,0.2
261,-75.37,-97.35,-53.40,10,85,3,2,4.15,0.8,0.4
262,-70.88,-79.36,-62.40,11,80,5,4,0.72,1.2,0.4
263,-77.50,-90.20,-64.80,8,81,4,7,1.22,1.1,0.2
264,-73.08,-96.95,-49.20,6,93,0,1,8.68,1.1,0.3
265,-74.06,-98.73,-49.40,2,97,0,1,11.19,1.0,0.1
266,-75.18,-97.16,-53.20,8,89,2,1,3.78,1.0,0.2
267,-73.55,-97.71,-49.40,3,96,1,0,9.10,0.8,0.5
268,-73.11,-99.22,-47.00,5,95,0,0,10.72,1.0,0.1
269,-79.18,-98.16,-60.20,11,87,1,1,3.02,1.0,0.2
270,-70.31,-93.22,-47.40,5,93,1,1,9.90,1.1,0.4
271,-70.00,-93.40,-46.60,3,94,2,1,7.11,1.1,0.4
272,-74.52,-97.65,-51.40,6,87,2,5,5.21,1.1,0.3
273,-73.53,-90.26,-56.80,5,93,1,1,3.48,1.2,0.4
274,-73.34,-90.68,-56.00,9,89,1,1,6.64,1.1,0.4
275,-76.21,-99.81,-52.60,4,94,2,0,7.31,0.9,0.1
276,-74.18,-89.56,-58.80,14,81,0,5,1.54,1.0,0.4
277,-75.30,-97.41,-53.20,6,91,2,1,7.83,1.0,0.2
278,-71.86,-89.13,-54.60,12,85,2,1,3.42,1.1,0.2
279,-75.58,-98.35,-52.80,11,84,4,1,7.05,1.0,0.1
280,-75.16,-98.12,-52.20,8,87,3,2,7.87,0.9,0.4
281,-76.02,-99.44,-52.60,6,92,1,1,8.01,0.9,0.3
282,-72.38,-95.37,-49.40,2,94,4,0,17.03,1.1,0.2
283,-78.49,-99.78,-57.20,10,87,3,0,4.34,0.9,0.2
284,-74.39,-94.77,-54.00,5,88,3,4,4.87,1.2,0.1
285,-74.18,-95.75,-52.60,7,88,4,1,5.63,1.2,0.1
286,-75.27,-87.13,-63.40,10,80,9,1,2.20,1.0,0.5
287,-70.49,-88.79,-52.20,10,89,1,0,4.68,1.2,0.2
288,-78.73,-99.06,-58.40,12,83,4,1,4.08,0.9,0.3
289,-70.19,-90.99,-49.40,5,94,1,0,7.75,1.1,0.5
290,-73.40,-93.40,-53.40,12,78,5,5,4.07,1.1,0.4
291,-77.23,-95.25,-59.20,10,79,5,6,3.40,1.0,0.4
292,-75.25,-99.50,-51.00,7,87,3,3,7.21,0.9,0.2
293,-74.08,-96.15,-52.00,7,89,4,0,10.47,1.1,0.1
294,-69.89,-83.58,-56.20,2,90,6,2,3.10,1.2,0.5
295,-74.87,-97.13,-52.60,2,94,3,1,5.09,1.0,0.2
296,-74.54,-94.68,-54.40,7,82,5,6,4.10,1.0,0.3
297,-74.38,-97.15,-51.60,11,85,3,1,5.82,1.0,0.4
298,-73.97,-95.74,-52.20,7,92,0,1,10.24,1.0,0.3
299,-74.90,-98.21,-51.60,3,91,5,1,6.72,1.0,0.2
300,-77.35,-98.29,-56.40,7,84,6,3,2.85,0.9,0.4
301,-74.69,-91.58,-57.80,8,85,6,1,3.07,1.1,0.4
302,-71.26,-87.31,-55.20,7,87,6,0,4.66,1.2,0.3
303,-75.16,-99.72,-50.60,5,91,2,2,6.58,0.9,0.2
304,-70.76,-90.91,-50.60,6,90,2,2,4.31,1.0,0.5
305,-73.12,-97.63,-48.60,7,88,5,0,8.47,0.9,0.5
306,-76.91,-97.82,-56.00,5,90,4,1,7.56,0.8,0.3
