episode, reward, reward_tard, reward_setup 
490,-67.11,-98.82,-35.40
491,-49.17,-61.73,-36.60
492,-56.28,-74.37,-38.20
493,-66.77,-92.14,-41.40
494,-64.97,-93.14,-36.80
495,-61.95,-83.90,-40.00
496,-54.59,-73.18,-36.00
497,-63.20,-89.39,-37.00
498,-67.06,-93.51,-40.60
499,-61.39,-82.78,-40.00
500,-64.50,-85.80,-43.20
501,-71.70,-98.99,-44.40
502,-59.44,-78.87,-40.00
503,-53.65,-64.69,-42.60
504,-62.23,-82.47,-42.00
505,-68.48,-99.17,-37.80
506,-67.35,-94.51,-40.20
507,-55.89,-71.19,-40.60
508,-62.93,-87.07,-38.80
509,-62.90,-83.00,-42.80
510,-60.45,-83.10,-37.80
511,-64.18,-92.36,-36.00
512,-66.50,-89.00,-44.00
513,-62.12,-87.85,-36.40
514,-65.04,-89.27,-40.80
515,-65.76,-97.51,-34.00
516,-68.44,-94.09,-42.80
517,-66.07,-89.94,-42.20
518,-69.79,-98.38,-41.20
519,-66.12,-94.83,-37.40
520,-62.95,-90.10,-35.80
521,-62.63,-82.45,-42.80
522,-68.56,-97.52,-39.60
523,-68.09,-99.18,-37.00
524,-52.98,-67.56,-38.40
525,-69.04,-94.68,-43.40
526,-67.08,-95.56,-38.60
527,-55.45,-73.70,-37.20
528,-65.44,-95.68,-35.20
529,-63.83,-84.65,-43.00
530,-64.87,-90.75,-39.00
531,-62.56,-87.11,-38.00
532,-62.29,-81.19,-43.40
533,-59.80,-78.99,-40.60
534,-62.23,-84.65,-39.80
535,-55.02,-72.83,-37.20
536,-69.32,-97.04,-41.60
537,-69.28,-98.35,-40.20
538,-61.20,-78.59,-43.80
539,-59.57,-84.34,-34.80
540,-56.71,-75.62,-37.80
541,-57.96,-83.53,-32.40
542,-60.94,-80.09,-41.80
543,-61.94,-85.47,-38.40
544,-59.97,-80.13,-39.80
545,-63.62,-91.64,-35.60
546,-60.08,-79.57,-40.60
547,-59.94,-81.88,-38.00
548,-65.10,-93.99,-36.20
549,-61.36,-82.93,-39.80
550,-67.68,-95.17,-40.20
551,-66.54,-94.08,-39.00
552,-61.71,-86.01,-37.40
553,-68.12,-94.05,-42.20
554,-52.85,-70.71,-35.00
555,-61.74,-77.67,-45.80
556,-62.38,-90.96,-33.80
557,-68.96,-97.72,-40.20
558,-60.77,-83.93,-37.60
559,-59.51,-84.23,-34.80
560,-58.77,-73.54,-44.00
561,-62.68,-83.37,-42.00
562,-64.70,-90.20,-39.20
563,-60.75,-84.11,-37.40
564,-62.35,-90.10,-34.60
565,-65.03,-91.26,-38.80
566,-64.97,-93.74,-36.20
567,-69.10,-96.20,-42.00
568,-69.37,-92.73,-46.00
569,-62.54,-87.28,-37.80
570,-68.66,-98.73,-38.60
571,-66.56,-90.52,-42.60
572,-58.45,-77.90,-39.00
573,-66.34,-90.09,-42.60
574,-67.63,-95.65,-39.60
575,-61.34,-85.07,-37.60
576,-63.54,-89.28,-37.80
577,-64.93,-95.67,-34.20
578,-61.07,-80.55,-41.60
579,-68.17,-93.74,-42.60
580,-62.44,-87.89,-37.00
581,-60.59,-86.18,-35.00
582,-70.80,-93.60,-48.00
583,-63.76,-84.93,-42.60
584,-67.67,-97.94,-37.40
585,-60.97,-83.74,-38.20
586,-64.74,-89.08,-40.40
587,-63.35,-89.29,-37.40
588,-61.46,-91.71,-31.20
589,-66.94,-92.28,-41.60
590,-62.21,-86.02,-38.40
591,-59.93,-82.26,-37.60
592,-67.77,-93.53,-42.00
593,-60.89,-80.58,-41.20
594,-66.26,-93.11,-39.40
595,-70.26,-98.72,-41.80
596,-61.16,-81.93,-40.40
597,-56.45,-75.30,-37.60
598,-67.42,-95.24,-39.60
599,-67.94,-95.28,-40.60
600,-54.42,-71.64,-37.20
601,-62.11,-87.61,-36.60
602,-66.26,-94.33,-38.20
603,-63.38,-86.76,-40.00
604,-69.34,-97.88,-40.80
605,-68.77,-97.34,-40.20
606,-65.20,-92.39,-38.00
607,-60.40,-83.20,-37.60
608,-60.84,-82.68,-39.00
609,-65.42,-91.44,-39.40
610,-60.57,-78.94,-42.20
611,-64.97,-89.95,-40.00
612,-73.47,-99.34,-47.60
613,-56.34,-79.68,-33.00
614,-66.29,-96.37,-36.20
615,-62.00,-82.01,-42.00
616,-62.67,-86.94,-38.40
617,-64.12,-95.04,-33.20
618,-67.33,-96.05,-38.60
619,-60.12,-83.84,-36.40
620,-62.91,-84.83,-41.00
621,-64.37,-93.74,-35.00
622,-65.80,-94.00,-37.60
623,-56.91,-75.82,-38.00
624,-48.32,-62.84,-33.80
625,-64.38,-91.96,-36.80
626,-61.54,-85.67,-37.40
627,-64.63,-87.85,-41.40
628,-56.74,-74.67,-38.80
629,-67.25,-93.49,-41.00
630,-61.26,-84.72,-37.80
631,-62.02,-90.24,-33.80
632,-62.96,-89.72,-36.20
633,-66.24,-95.28,-37.20
634,-67.48,-97.17,-37.80
635,-65.28,-88.15,-42.40
636,-66.25,-93.09,-39.40
637,-61.47,-85.34,-37.60
638,-60.08,-84.37,-35.80
639,-62.70,-89.79,-35.60
640,-55.97,-70.95,-41.00
641,-51.93,-66.25,-37.60
642,-62.91,-87.61,-38.20
643,-65.98,-97.37,-34.60
644,-59.07,-78.73,-39.40
645,-53.02,-65.43,-40.60
646,-68.23,-96.65,-39.80
647,-62.51,-80.01,-45.00
648,-57.78,-79.35,-36.20
649,-57.48,-75.37,-39.60
650,-62.79,-86.39,-39.20
651,-63.99,-84.38,-43.60
652,-58.84,-75.69,-42.00
653,-64.38,-91.35,-37.40
654,-58.88,-83.56,-34.20
655,-64.82,-90.44,-39.20
656,-64.41,-91.02,-37.80
657,-65.92,-97.04,-34.80
658,-67.74,-95.49,-40.00
659,-60.07,-80.35,-39.80
660,-67.60,-90.39,-44.80
661,-57.53,-77.26,-37.80
662,-63.20,-89.01,-37.40
663,-49.57,-58.74,-40.40
664,-60.08,-79.15,-41.00
665,-61.13,-81.05,-41.20
666,-60.67,-79.33,-42.00
667,-67.71,-91.41,-44.00
668,-64.85,-91.49,-38.20
669,-65.82,-94.83,-36.80
670,-63.20,-89.60,-36.80
671,-63.07,-88.33,-37.80
672,-68.24,-98.07,-38.40
673,-64.97,-90.15,-39.80
674,-59.86,-84.71,-35.00
675,-70.57,-97.14,-44.00
676,-65.03,-95.26,-34.80
677,-60.71,-82.62,-38.80
678,-56.05,-70.89,-41.20
679,-62.56,-81.91,-43.20
680,-62.74,-88.87,-36.60
681,-62.14,-88.48,-35.80
682,-54.84,-71.47,-38.20
683,-66.87,-92.15,-41.60
684,-57.19,-74.17,-40.20
685,-59.83,-79.86,-39.80
686,-67.41,-89.62,-45.20
687,-62.03,-84.86,-39.20
688,-63.22,-91.44,-35.00
689,-64.39,-93.58,-35.20
690,-64.76,-90.91,-38.60
691,-58.33,-75.45,-41.20
692,-64.83,-87.26,-42.40
693,-62.60,-88.19,-37.00
694,-63.66,-91.13,-36.20
695,-67.77,-95.54,-40.00
696,-63.58,-87.36,-39.80
697,-60.43,-83.65,-37.20
698,-48.35,-61.11,-35.60
699,-56.82,-83.65,-30.00
700,-65.66,-89.52,-41.80
701,-62.77,-83.94,-41.60
702,-65.40,-89.79,-41.00
703,-57.00,-76.60,-37.40
704,-62.64,-81.68,-43.60
705,-59.31,-78.43,-40.20
706,-56.80,-73.79,-39.80
707,-54.74,-73.27,-36.20
708,-63.01,-90.42,-35.60
709,-58.43,-81.66,-35.20
710,-63.36,-84.72,-42.00
711,-62.05,-84.30,-39.80
712,-63.80,-87.59,-40.00
713,-57.84,-77.69,-38.00
714,-59.93,-79.46,-40.40
715,-63.41,-86.62,-40.20
716,-55.46,-74.13,-36.80
717,-63.82,-84.45,-43.20
718,-68.20,-98.40,-38.00
719,-68.54,-93.28,-43.80
720,-65.08,-93.57,-36.60
721,-62.91,-89.22,-36.60
722,-67.19,-94.79,-39.60
723,-61.90,-91.20,-32.60
724,-67.49,-98.38,-36.60
725,-72.25,-95.71,-48.80
726,-62.28,-80.16,-44.40
727,-63.15,-85.50,-40.80
728,-58.87,-79.15,-38.60
729,-51.82,-65.24,-38.40
730,-64.20,-94.39,-34.00
731,-45.18,-47.35,-43.00
732,-66.08,-94.77,-37.40
733,-69.97,-96.55,-43.40
734,-64.41,-88.02,-40.80
735,-66.09,-91.19,-41.00
736,-68.13,-97.26,-39.00
737,-64.54,-92.27,-36.80
738,-62.05,-80.90,-43.20
739,-69.14,-97.48,-40.80
740,-62.30,-84.40,-40.20
741,-62.57,-80.33,-44.80
742,-60.75,-83.50,-38.00
743,-55.96,-76.12,-35.80
744,-54.84,-70.09,-39.60
745,-64.89,-93.99,-35.80
746,-66.68,-92.37,-41.00
747,-66.43,-93.86,-39.00
748,-63.45,-83.90,-43.00
749,-60.45,-89.69,-31.20
750,-66.58,-98.76,-34.40
751,-61.22,-85.25,-37.20
752,-59.56,-80.52,-38.60
753,-68.21,-95.82,-40.60
754,-66.74,-93.68,-39.80
755,-61.89,-80.19,-43.60
756,-70.37,-98.74,-42.00
757,-51.94,-70.47,-33.40
758,-60.54,-79.08,-42.00
759,-63.98,-87.57,-40.40
760,-67.93,-96.66,-39.20
761,-58.51,-76.83,-40.20
762,-56.00,-75.79,-36.20
763,-59.66,-75.91,-43.40
764,-59.95,-82.70,-37.20
