episode, reward, reward_tard, reward_setup, SSPT, ATCS, MDD, COVERT,Average tardy jobs
223,-86.79,-95.78,-77.8,14,16,49,21,1.07
224,-83.73,-88.86,-78.6,3,10,79,8,8.03
225,-85.24,-91.68,-78.8,3,7,80,10,9.82
226,-88.23,-98.46,-78,1,16,73,10,6.01
227,-85.66,-97.71,-73.6,3,15,62,20,4.38
228,-86.97,-96.34,-77.6,8,8,71,13,6.4
229,-89.59,-98.58,-80.6,6,9,64,21,7.4
230,-84.61,-94.83,-74.4,4,18,60,18,4.83
231,-84.28,-92.16,-76.4,7,12,72,9,4.99
232,-85.79,-91.37,-80.2,6,13,67,14,4.09
233,-88.89,-96.98,-80.8,3,10,75,12,6.56
234,-89.51,-97.43,-81.6,2,5,90,3,12.42
235,-89.57,-99.94,-79.2,2,10,84,4,10.14
236,-88.31,-98.42,-78.2,4,14,71,11,7.75
237,-86.1,-99,-73.2,4,15,76,5,7.22
238,-88.33,-99.46,-77.2,3,15,69,13,4.51
239,-84.88,-99.36,-70.4,3,12,77,8,10.26
240,-83.73,-95.26,-72.2,3,15,68,14,5.88
241,-88.28,-99.96,-76.6,3,9,78,10,11.07
242,-78.39,-85.58,-71.2,8,15,61,16,5.31
243,-82.21,-89.63,-74.8,6,13,71,10,8.23
244,-87.87,-98.34,-77.4,9,14,67,10,6.55
245,-85.97,-97.13,-74.8,3,14,73,10,5.88
246,-85.3,-96.61,-74,7,13,71,9,5.74
247,-83.61,-96.22,-71,5,15,71,9,10.08
248,-85.59,-97.78,-73.4,9,16,68,7,6.38
249,-85.94,-95.28,-76.6,6,13,80,1,8.86
250,-89.01,-97.42,-80.6,10,9,77,4,4.46
251,-88.83,-99.66,-78,6,13,78,3,5.4
252,-86.69,-98.99,-74.4,8,18,62,12,2.57
253,-81.22,-90.25,-72.2,4,10,81,5,8.31
254,-81.24,-93.09,-69.4,6,20,60,14,4.41
255,-82.07,-89.35,-74.8,6,20,66,8,6.96
256,-88.82,-99.64,-78,2,15,76,7,6.69
257,-82.36,-94.32,-70.4,3,16,76,5,8.75
258,-88.85,-99.71,-78,6,11,79,4,14.29
259,-82.97,-99.33,-66.6,18,23,52,7,3.26
260,-78.94,-87.68,-70.2,11,35,43,11,0.84
261,-78.6,-84.6,-72.6,5,30,61,4,10.45
262,-79.59,-97.37,-61.8,9,39,45,7,6.1
263,-75.82,-87.85,-63.8,10,37,43,10,7.6
264,-81.79,-99.18,-64.4,6,44,38,12,7.19
265,-83.29,-97.57,-69,8,41,41,10,7.85
266,-79.61,-93.82,-65.4,7,57,27,9,3.59
267,-82.4,-99.8,-65,6,60,26,8,6.34
268,-76.54,-92.28,-60.8,13,59,18,10,3.4
269,-73.15,-79.29,-67,10,62,15,13,0.74
270,-75.01,-96.41,-53.6,1,84,10,5,6.65
271,-76.01,-96.82,-55.2,10,72,11,7,9.71
272,-68.58,-84.77,-52.4,4,74,16,6,7.8
273,-73.54,-98.89,-48.2,5,80,12,3,11.48
274,-76.22,-97.65,-54.8,2,79,11,8,9.2
275,-73.77,-91.74,-55.8,0,85,12,3,8.56
276,-74.66,-98.92,-50.4,5,79,12,4,10.14
277,-74.96,-96.33,-53.6,1,83,13,3,11.9
278,-76.81,-97.82,-55.8,9,72,11,8,4.53
279,-70.34,-84.89,-55.8,8,76,8,8,5.02
280,-73.69,-95.57,-51.8,1,92,6,1,7.87
281,-79.89,-96.59,-63.2,6,71,12,11,2.56
282,-78.51,-94.62,-62.4,6,61,16,17,2.75
283,-81.19,-99.58,-62.8,4,71,13,12,3.15
284,-69.41,-88.62,-50.2,2,85,8,5,10.97
285,-80.07,-93.34,-66.8,11,59,12,18,0.53
286,-77.3,-99.79,-54.8,7,69,7,17,4.94
287,-76.74,-92.28,-61.2,3,71,16,10,2.94
288,-74.65,-93.71,-55.6,5,78,6,11,7.71
289,-76.24,-91.27,-61.2,5,76,5,14,3.21
290,-74.25,-98.51,-50,2,87,8,3,5.87
291,-76.49,-94.78,-58.2,6,82,4,8,3.99
292,-76.13,-96.26,-56,0,91,4,5,9.79
293,-74.2,-90.4,-58,9,73,7,11,2.1
294,-81.27,-99.54,-63,12,69,12,7,2.34
295,-72.7,-87.01,-58.4,2,81,7,10,2.78
296,-72.1,-92.2,-52,0,90,6,4,6.78
297,-76.97,-96.75,-57.2,4,89,2,5,4.05
298,-75.07,-99.94,-50.2,1,89,4,6,9.64
299,-70.19,-89.58,-50.8,2,97,1,0,8.64
300,-73.49,-95.38,-51.6,2,85,8,5,9.36
301,-73.21,-81.23,-65.2,9,69,4,18,1.04
302,-78.72,-99.43,-58,4,77,7,12,4.52
303,-72.09,-91.19,-53,1,88,2,9,5.73
304,-74.76,-96.92,-52.6,5,89,3,3,6.71
305,-80.45,-96.71,-64.2,8,76,8,8,3.2
306,-72.41,-92.22,-52.6,3,87,6,4,7.89
307,-82.63,-97.25,-68,7,66,9,18,0.51
308,-71.49,-91.79,-51.2,1,91,2,6,8.71
309,-76.26,-99.72,-52.8,1,88,6,5,6.56
310,-76.25,-99.5,-53,3,91,1,5,6.58
311,-75.39,-98.57,-52.2,4,82,8,6,6.87
312,-74.64,-97.08,-52.2,2,92,4,2,10.06
313,-74.87,-99.55,-50.2,2,93,1,4,7.87
314,-75.24,-99.47,-51,1,91,2,6,7.07
315,-74.19,-91.18,-57.2,2,90,2,6,5.68
316,-78.24,-98.49,-58,0,94,2,4,5.53
317,-76.49,-91.59,-61.4,5,81,5,9,3
318,-75.91,-99.42,-52.4,2,88,5,5,5.64
319,-76.78,-97.97,-55.6,3,90,2,5,8.92
320,-76.49,-96.58,-56.4,2,82,4,12,5.13
321,-74.28,-95.95,-52.6,1,91,3,5,7.14
322,-70.94,-92.07,-49.8,3,94,0,3,9.07
323,-74.08,-96.95,-51.2,0,91,4,5,11.49
324,-72.64,-89.48,-55.8,4,82,5,9,3.23
325,-76.43,-99.07,-53.8,3,88,6,3,6.09
326,-78.22,-99.64,-56.8,1,85,6,8,4.29
327,-72.62,-91.44,-53.8,1,90,3,6,5.24
328,-73.26,-96.53,-50,1,93,2,4,12.33
329,-77.55,-98.1,-57,7,83,6,4,2.92
330,-77.26,-99.92,-54.6,7,86,2,5,6.67
331,-73.39,-88.58,-58.2,10,81,1,8,2.8
332,-73.98,-84.57,-63.4,9,72,4,15,2.46
333,-75.82,-99.43,-52.2,1,90,3,6,9.3
334,-74.1,-93.59,-54.6,3,86,3,8,5.58
335,-73.99,-94.97,-53,3,78,8,11,3.72
336,-77.91,-98.61,-57.2,7,71,4,18,4.31
337,-74.81,-98.22,-51.4,1,88,8,3,13.9
338,-72.21,-93.83,-50.6,3,89,1,7,10.51
339,-76.21,-95.43,-57,9,82,0,9,6.99
340,-74.1,-95.2,-53,4,90,0,6,5.98
341,-71.87,-89.94,-53.8,1,87,4,8,6.51
342,-73.14,-96.28,-50,5,87,1,7,5.96
343,-82.8,-98.8,-66.8,1,65,6,28,1.77
344,-74.58,-93.36,-55.8,2,87,2,9,5.58
345,-70.95,-86.5,-55.4,3,77,6,14,2.95
346,-72.47,-85.54,-59.4,9,72,7,12,2.6
347,-75.39,-97.38,-53.4,4,80,3,13,9.53
348,-72.73,-94.26,-51.2,2,84,3,11,8.22
349,-74.43,-94.85,-54,2,92,0,6,9.47
350,-75.87,-96.75,-55,5,81,7,7,3.41
351,-73.67,-96.74,-50.6,1,92,2,5,8.83
352,-74.91,-99.82,-50,3,86,4,7,7.96
353,-74.13,-86.05,-62.2,2,82,4,12,3.41
354,-78.61,-98.63,-58.6,2,83,6,9,4.37
355,-78.02,-99.84,-56.2,3,85,5,7,2.67
356,-75.87,-97.53,-54.2,2,89,3,6,6.03
357,-79.42,-99.83,-59,0,94,2,4,3.33
358,-78.96,-96.52,-61.4,4,82,4,10,2.52
359,-76.25,-99.9,-52.6,2,89,2,7,7.99
360,-74.85,-98.29,-51.4,5,89,1,5,6.34
361,-75.71,-99.81,-51.6,0,94,1,5,7.1
362,-73.28,-93.57,-53,4,86,4,6,6.12
363,-75.54,-92.87,-58.2,2,78,7,13,3.83
364,-74.49,-98.97,-50,1,95,1,3,7.31
365,-73.21,-96.03,-50.4,1,95,1,3,8.94
366,-78.25,-99.69,-56.8,2,92,3,3,6.45
367,-73.18,-98.75,-47.6,1,93,0,6,8.32
368,-76.1,-97.8,-54.4,3,90,2,5,8.36
369,-72.39,-89.18,-55.6,2,86,2,10,5.39
370,-75.29,-88.39,-62.2,2,84,2,12,2.37
371,-73.64,-96.88,-50.4,1,93,1,5,9.21
372,-75.7,-96.99,-54.4,1,87,0,12,6.6
373,-76.73,-98.27,-55.2,3,85,1,11,6.67
374,-74.85,-99.91,-49.8,1,94,0,5,9.96
375,-72.75,-90.7,-54.8,2,91,3,4,4.19
376,-73.95,-98.9,-49,1,90,1,8,6.62
377,-74.21,-95.61,-52.8,1,92,2,5,10.38
378,-74.21,-96.03,-52.4,1,89,0,10,5.72
379,-79.57,-98.34,-60.8,1,83,3,13,1.73
380,-75.13,-98.27,-52,1,92,1,6,8.66
381,-72.9,-96.61,-49.2,2,89,3,6,8.18
382,-82.89,-99.78,-66,2,85,1,12,2.6
383,-75.89,-97.98,-53.8,2,91,0,7,7.85
384,-75.48,-99.97,-51,1,96,1,2,8.2
385,-79.49,-99.58,-59.4,8,80,3,9,2.47
386,-77.89,-99.17,-56.6,1,87,4,8,5.41
387,-71.92,-91.63,-52.2,4,89,3,4,5.64
388,-73.67,-88.73,-58.6,2,86,2,10,4.36
389,-74.53,-92.05,-57,5,80,3,12,3.98
390,-72.94,-99.87,-46,1,95,1,3,11.34
391,-74.34,-99.47,-49.2,0,96,1,3,11.62
392,-75.31,-93.42,-57.2,1,90,4,5,4.66
393,-73.54,-98.09,-49,2,92,0,6,7.37
394,-77.38,-93.96,-60.8,2,84,7,7,2.78
395,-75.97,-92.75,-59.2,2,85,0,13,4.03
396,-71.82,-90.84,-52.8,1,92,2,5,6.37
397,-79.84,-99.89,-59.8,5,85,2,8,4.2
398,-78.99,-93.18,-64.8,3,90,2,5,2.57
399,-74.41,-96.81,-52,0,96,1,3,10.37
400,-74.61,-99.61,-49.6,1,95,0,4,8.31
401,-76.81,-99.02,-54.6,2,90,3,5,3.38
402,-71.32,-88.04,-54.6,5,84,2,9,3.66
403,-72.19,-95.19,-49.2,1,97,0,2,9.9
404,-80.06,-95.72,-64.4,2,90,2,6,2.16
405,-71.38,-92.16,-50.6,0,95,3,2,11.84
406,-76.63,-95.05,-58.2,3,86,1,10,2.48
407,-73.76,-93.31,-54.2,1,92,1,6,7.58
408,-77.43,-99.86,-55,0,91,1,8,5.12
409,-73.77,-92.75,-54.8,1,93,1,5,5.58
410,-74.55,-96.5,-52.6,0,99,0,1,4.01
411,-75.02,-93.85,-56.2,0,92,3,5,7.54
412,-75.25,-94.71,-55.8,0,93,1,6,6.09
413,-75.49,-98.38,-52.6,1,93,0,6,7.87
414,-72.73,-95.86,-49.6,0,97,1,2,5.27
415,-79.03,-99.25,-58.8,3,90,2,5,3.64
416,-75.15,-99.89,-50.4,0,96,0,4,7.72
417,-74.4,-97.8,-51,1,99,0,0,10.89
418,-73.59,-99.79,-47.4,1,98,0,1,5.49
419,-74.65,-98.29,-51,0,97,0,3,9.42
420,-72.36,-96.93,-47.8,1,98,0,1,10.27
421,-76.18,-94.95,-57.4,4,90,0,6,2.46
422,-76.1,-99.8,-52.4,0,99,0,1,7.72
423,-79.08,-93.76,-64.4,2,93,1,4,1.41
424,-67.96,-88.12,-47.8,0,97,1,2,8.85
425,-75.25,-96.69,-53.8,1,94,2,3,4.84
426,-76.17,-99.94,-52.4,1,95,0,4,6.61
427,-74.23,-96.67,-51.8,1,94,1,4,5.41
428,-75.81,-99.23,-52.4,1,95,0,4,5.25
429,-76.79,-99.79,-53.8,1,96,0,3,4.82
430,-73.49,-95.59,-51.4,0,95,1,4,10.1
431,-69.79,-89.77,-49.8,0,97,0,3,7.6
432,-75.46,-99.32,-51.6,0,95,0,5,11.89
433,-74.94,-89.28,-60.6,0,92,1,7,1.63
434,-75.4,-98.41,-52.4,0,99,0,1,9.8
435,-72.9,-90.79,-55,1,97,0,2,8.11
436,-75.92,-99.43,-52.4,1,94,0,5,9.7
437,-71.5,-92.99,-50,1,94,0,5,8.73
438,-72.73,-95.66,-49.8,1,96,1,2,7.34
439,-75.24,-99.68,-50.8,1,93,2,4,6.84
440,-76.16,-99.92,-52.4,0,98,1,1,7.4
441,-72.23,-91.66,-52.8,2,95,1,2,4.16
442,-75.92,-98.84,-53,1,98,0,1,9.29
443,-76.65,-98.7,-54.6,1,94,1,4,2.25
444,-79.93,-95.67,-64.2,1,92,1,6,1.69
445,-74.32,-98.23,-50.4,0,95,2,3,8.17
446,-73.63,-98.06,-49.2,2,93,1,4,7.9
447,-70.67,-88.73,-52.6,0,95,0,5,3.57
448,-75.14,-89.47,-60.8,0,89,3,8,2.37
449,-75.8,-99.8,-51.8,2,94,0,4,4.24
450,-73.78,-99.96,-47.6,0,94,1,5,11.85
451,-75.56,-98.72,-52.4,1,91,3,5,8.76
452,-77.09,-99.58,-54.6,0,96,0,4,3.99
453,-68.54,-82.29,-54.8,0,95,1,4,3.93
454,-75.27,-99.93,-50.6,0,94,1,5,8.5
455,-69.8,-89.4,-50.2,2,90,1,7,5.21
456,-72.86,-91.33,-54.4,0,94,1,5,5.6
457,-71.95,-92.3,-51.6,0,93,1,6,6.64
458,-76.58,-99.77,-53.4,0,93,2,5,6.42
459,-78.79,-98.58,-59,1,90,2,7,2.85
460,-78.26,-96.32,-60.2,2,87,2,9,2.7
461,-79.9,-95.8,-64,2,86,1,11,4.72
462,-77.01,-99.42,-54.6,1,91,2,6,5.36
463,-74.54,-96.08,-53,1,90,2,7,4.96
464,-75.05,-98.1,-52,0,94,1,5,7.89
465,-75.89,-98.58,-53.2,0,95,0,5,9.75
466,-71.64,-91.88,-51.4,0,97,1,2,6.93
467,-74.61,-93.82,-55.4,0,89,0,11,4.35
468,-71.97,-90.15,-53.8,0,94,1,5,5.76
469,-79.03,-99.67,-58.4,3,84,1,12,3.2
470,-77.16,-94.12,-60.2,1,85,2,12,1.79
471,-75.98,-99.35,-52.6,3,86,0,11,5.24
472,-76.7,-98.4,-55,1,88,0,11,5.99
473,-76.37,-98.14,-54.6,0,89,2,9,7.32
474,-74.99,-99.38,-50.6,0,96,0,4,11.54
475,-74.57,-89.74,-59.4,2,86,0,12,1.2
476,-75.57,-95.13,-56,3,82,3,12,1.95
477,-75.74,-98.69,-52.8,0,87,3,10,5.97
478,-71.41,-88.42,-54.4,0,87,0,13,7.35
479,-71.65,-87.09,-56.2,0,92,1,7,3.52
480,-72.22,-96.45,-48,0,96,0,4,7.38
481,-82.6,-99.6,-65.6,3,81,1,15,4.72
482,-73.68,-91.17,-56.2,1,89,0,10,4.24
483,-71.23,-88.85,-53.6,0,92,2,6,8.71
